feature,mean_target_0,mean_target_1,diff
phish_attachment,0.35823529411764704,0.693125,0.33488970588235295
phish_link,0.22264705882352942,0.49875,0.2761029411764706
social_contact,0.13323529411764706,0.438125,0.3048897058823529
macro_exec,0.1826470588235294,0.638125,0.45547794117647067
powershell_exec,0.36676470588235294,0.69,0.323235294117647
signed_binary_proxy,0.19294117647058823,0.585,0.39205882352941174
dll_sideload,0.15411764705882353,0.374375,0.2202573529411765
scheduled_task,0.15029411764705883,0.6025,0.45220588235294124
new_service,0.12705882352941175,0.299375,0.17231617647058825
credential_access,0.2023529411764706,0.53625,0.3338970588235294
valid_accounts_use,0.33852941176470586,0.515,0.17647058823529416
smb_lateral,0.18323529411764705,0.458125,0.27488970588235295
rdp_lateral,0.16470588235294117,0.315,0.15029411764705883
ssh_lateral,0.11764705882352941,0.2275,0.1098529411764706
network_discovery,0.3461764705882353,0.621875,0.27569852941176465
defense_evasion,0.23529411764705882,0.691875,0.4565808823529412
packed_payload,0.18676470588235294,0.569375,0.382610294117647
c2_beaconing,0.34647058823529414,0.746875,0.4004044117647058
cloud_exfil,0.2038235294117647,0.423125,0.21930147058823526
crypto_targeting,0.10676470588235294,0.274375,0.16761029411764705
failed_login_burst,3.021176470588235,5.96625,2.9450735294117645
outbound_conn_count,13.070294117647059,21.8375,8.76720588235294
rare_parent_child_score,0.28323352941176466,0.711969375,0.42873584558823535
offhours_activity_score,0.2845505882352941,0.6582593750000001,0.373708786764706
archive_attachment_kb,544.9476470588236,1266.35,721.4023529411763
script_chain_depth,2.0020588235294117,4.476875,2.474816176470588
